"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 16 23:31:45 IST 2020","Thu Jan 16 23:31:45 IST 2020","71","Gradle suite","Gradle test","tests.testTableForZim2","tests.testTableForZim2","testTableElementsText","testTableElementsText","test that string values exist in the table"
"passed","Thu Jan 16 23:31:09 IST 2020","Thu Jan 16 23:31:12 IST 2020","3010","Gradle suite","Gradle test","tests.testForZim1","tests.testForZim1","TestLanguagesAreChoosedValidly","TestLanguagesAreChoosedValidly","test that languages are chosen validly(english,German...."
"passed","Thu Jan 16 23:31:22 IST 2020","Thu Jan 16 23:31:27 IST 2020","4292","Gradle suite","Gradle test","tests.testForZim1","tests.testForZim1","TestLanguagesAreChoosedValidly","TestLanguagesAreChoosedValidly","test that languages are chosen validly(english,German...."
"passed","Thu Jan 16 23:30:58 IST 2020","Thu Jan 16 23:31:00 IST 2020","1973","Gradle suite","Gradle test","tests.testForZim1","tests.testForZim1","TestLanguagesAreChoosedValidly","TestLanguagesAreChoosedValidly","test that languages are chosen validly(english,German...."
"passed","Thu Jan 16 23:32:12 IST 2020","Thu Jan 16 23:32:12 IST 2020","685","Gradle suite","Gradle test","tests.testTableForZim2","tests.testTableForZim2","testTableElementsText","testTableElementsText","test that string values exist in the table"
"passed","Thu Jan 16 23:32:22 IST 2020","Thu Jan 16 23:32:23 IST 2020","708","Gradle suite","Gradle test","tests.testTableForZim2","tests.testTableForZim2","testTableElementsText","testTableElementsText","test that string values exist in the table"
"passed","Thu Jan 16 23:31:54 IST 2020","Thu Jan 16 23:31:54 IST 2020","86","Gradle suite","Gradle test","tests.testTableForZim2","tests.testTableForZim2","testTableElementsText","testTableElementsText","test that string values exist in the table"
"passed","Thu Jan 16 23:30:48 IST 2020","Thu Jan 16 23:30:48 IST 2020","297","Gradle suite","Gradle test","tests.testForZim1","tests.testForZim1","TestHoverAndGetAllLanuageOptions","TestHoverAndGetAllLanuageOptions","Hover above lang selector and extract all language options"
"passed","Thu Jan 16 23:32:03 IST 2020","Thu Jan 16 23:32:03 IST 2020","106","Gradle suite","Gradle test","tests.testTableForZim2","tests.testTableForZim2","testTableElementsText","testTableElementsText","test that string values exist in the table"
"passed","Thu Jan 16 23:31:35 IST 2020","Thu Jan 16 23:31:36 IST 2020","623","Gradle suite","Gradle test","tests.testTableForZim2","tests.testTableForZim2","testTableElementsText","testTableElementsText","test that string values exist in the table"
